,train_acc,valid_acc,test_acc,model,n_suprious
0,0.8333333333333334,0.7,0.6,GCN,2.0
1,0.8666666666666667,0.65,0.6,proposed,2.0
2,0.6,0.3,0.3,GCN,1.0
3,0.7,0.3,0.3,proposed,1.0
4,0.6,0.35,0.2,GCN,3.0
5,0.6666666666666666,0.4,0.2,proposed,3.0
6,0.7,0.55,0.3,GCN,1.0
7,0.7666666666666667,0.5,0.3,proposed,1.0
8,0.7,0.4,0.7,GCN,3.0
9,0.6333333333333333,0.25,0.7,proposed,3.0
10,0.6,0.4,0.4,GCN,1.0
11,0.6333333333333333,0.4,0.5,proposed,1.0
12,0.8666666666666667,0.6,0.4,GCN,3.0
13,0.7,0.45,0.4,proposed,3.0
14,0.6333333333333333,0.65,0.45,GCN,3.0
15,0.6,0.6,0.6,proposed,3.0
16,0.6666666666666666,0.45,0.7,GCN,1.0
17,0.5666666666666667,0.3,0.7,proposed,1.0
18,0.7,0.45,0.45,GCN,3.0
19,0.6,0.5,0.45,proposed,3.0
20,0.8333333333333334,0.6,0.4,GCN,2.0
21,0.7666666666666667,0.65,0.4,proposed,2.0
22,0.6666666666666666,0.5,0.3,GCN,1.0
23,0.5666666666666667,0.35,0.55,proposed,1.0
24,0.5666666666666667,0.65,0.55,GCN,1.0
25,0.5,0.6,0.65,proposed,1.0
26,0.5333333333333333,0.5,0.5,GCN,2.0
27,0.7,0.35,0.5,proposed,2.0
28,0.8666666666666667,0.45,0.75,GCN,1.0
29,0.6,0.45,0.75,proposed,1.0
30,0.6666666666666666,0.4,0.55,GCN,3.0
31,0.6,0.3,0.55,proposed,3.0
32,0.8333333333333334,0.5,0.55,GCN,4.0
33,0.8,0.4,0.55,proposed,4.0
34,0.6,0.45,0.3,GCN,1.0
35,0.7333333333333333,0.6,0.3,proposed,1.0
36,0.6,0.65,0.7,GCN,3.0
37,0.5666666666666667,0.6,0.3,proposed,3.0
38,0.7,0.55,0.5,GCN,2.0
39,0.6333333333333333,0.55,0.5,proposed,2.0
40,0.6,0.45,0.55,GCN,3.0
41,0.6333333333333333,0.5,0.55,proposed,3.0
42,0.8333333333333334,0.6,0.25,GCN,1.0
43,0.6333333333333333,0.5,0.25,proposed,1.0
44,0.7666666666666667,0.5,0.4,GCN,2.0
45,0.6,0.55,0.4,proposed,2.0
46,0.6,0.6,0.3,GCN,5.0
47,0.5666666666666667,0.55,0.3,proposed,5.0
48,0.6666666666666666,0.55,0.4,GCN,3.0
49,0.6666666666666666,0.55,0.5,proposed,3.0
50,0.7,0.4,0.55,GCN,1.0
51,0.6666666666666666,0.4,0.5,proposed,1.0
52,0.7,0.55,0.75,GCN,1.0
53,0.8,0.5,0.75,proposed,1.0
54,0.6666666666666666,0.6,0.35,GCN,1.0
55,0.6666666666666666,0.55,0.35,proposed,1.0
56,0.8,0.5,0.7,GCN,3.0
57,0.6,0.6,0.7,proposed,3.0
58,0.6333333333333333,0.65,0.45,GCN,1.0
59,0.6,0.6,0.5,proposed,1.0
60,0.8333333333333334,0.6,0.4,GCN,3.0
61,0.8666666666666667,0.55,0.45,proposed,3.0
62,0.7666666666666667,0.5,0.35,GCN,3.0
63,0.7333333333333333,0.5,0.35,proposed,3.0
64,0.8666666666666667,0.6,0.75,GCN,2.0
65,0.6,0.55,0.75,proposed,2.0
66,0.6666666666666666,0.65,0.35,GCN,4.0
67,0.6333333333333333,0.6,0.7,proposed,4.0
68,0.8666666666666667,0.7,0.45,GCN,1.0
69,0.8333333333333334,0.55,0.55,proposed,1.0
70,0.9,0.65,0.6,GCN,1.0
71,0.8666666666666667,0.7,0.4,proposed,1.0
72,0.6333333333333333,0.4,0.75,GCN,5.0
73,0.6333333333333333,0.4,0.3,proposed,5.0
74,0.7666666666666667,0.55,0.25,GCN,1.0
75,0.5666666666666667,0.5,0.75,proposed,1.0
76,0.7333333333333333,0.45,0.45,GCN,1.0
77,0.7,0.4,0.45,proposed,1.0
78,0.7,0.75,0.75,GCN,2.0
79,0.9,0.8,0.75,proposed,2.0
80,0.6333333333333333,0.65,0.65,GCN,2.0
81,0.6333333333333333,0.75,0.75,proposed,2.0
82,0.6666666666666666,0.5,0.75,GCN,1.0
83,0.7333333333333333,0.35,0.75,proposed,1.0
84,0.9,0.7,0.85,GCN,1.0
85,0.8666666666666667,0.65,0.85,proposed,1.0
86,0.7666666666666667,0.8,0.5,GCN,1.0
87,0.8666666666666667,0.6,0.5,proposed,1.0
88,0.6,0.55,0.5,GCN,2.0
89,0.6666666666666666,0.4,0.5,proposed,2.0
90,0.7333333333333333,0.45,0.45,GCN,2.0
91,0.8333333333333334,0.65,0.6,proposed,2.0
92,0.5333333333333333,0.65,0.7,GCN,1.0
93,0.6,0.6,0.3,proposed,1.0
94,0.7333333333333333,0.75,0.75,GCN,1.0
95,0.8,0.75,0.4,proposed,1.0
96,0.8666666666666667,0.5,0.5,GCN,2.0
97,0.9,0.65,0.5,proposed,2.0
98,0.6333333333333333,0.5,0.55,GCN,2.0
99,0.6333333333333333,0.5,0.4,proposed,2.0
